Iteration,Simulation,Result,X0,X1
0,0,-226.17234723124005,0.25592282714382186,8.368333972199812
0,1,-7.527330418093303,3.8928446317081598,3.8917823278526944
0,2,-17.220697315622143,1.7936452414715145,3.632852782753769
0,3,-363.0603735953714,3.2592859023471554,12.897287897460254
0,4,-76.71906517416323,7.110805207546683,6.011006624291639
0,5,-27.987294164904974,6.993686433931858,10.917195834835317
0,6,-84.54831139749294,8.562701739772065,7.466519414792946
0,7,-281.76528643882455,9.605267553135795,4.054028162136463
0,8,-1144.3702110980773,-2.1071266962114543,13.136319102676481
0,9,-173.13584235677135,8.223367282933635,14.779627347743025
1,0,-5.21293232943075,3.6561144930172365,6.444317568207759
1,1,-5.163653621480159,3.653752650766199,6.434557331338813
1,2,-5.11405950707012,3.6513641464754767,6.424669447366023
1,3,-5.0641561185189055,3.6489522002621575,6.414655470792857
1,4,-5.013927807208129,3.6465136379314886,6.404508198575828
1,5,-4.963375439747076,3.6440482263896596,6.394225368449078
1,6,-4.912485062642077,3.6415557631040585,6.3838022088601205
1,7,-4.861248395260305,3.63903523317024,6.373234085806283
1,8,-4.809666977298114,3.63648788331255,6.362519712907192
1,9,-4.757733395778943,3.6339110830372516,6.351653061948631
2,0,-19.371409500968724,6.062323936360249,8.647538105877736
2,1,-19.374471396057693,6.0635923872097335,8.647293425975995
2,2,-19.37760072271755,6.064885347688734,8.647068921198214
2,3,-19.38081030361716,6.066210013120689,8.646878652562407
2,4,-19.384097124549168,6.067565185971988,8.646719529615023
2,5,-19.387468963155523,6.068954608182743,8.646592402960536
2,6,-19.390944140253776,6.070387757569409,8.646508140145267
2,7,-19.39450219860732,6.071856343910694,8.646464057345257
2,8,-19.39817496165561,6.073375756733461,8.646471221925578
2,9,-19.40196440892497,6.074948072966881,8.646533003660345
3,0,-0.7049066987351604,3.3393829142922247,4.819232093400034
3,1,-0.7115611989166024,3.3476071393021245,4.825481258693685
3,2,-0.719434358204036,3.3557503404220386,4.832033593626259
3,3,-0.7284718192520845,3.3638092201237155,4.838905390831792
3,4,-0.7386386869115534,3.371784388268432,4.846137585329439
3,5,-0.7498543396470407,3.3796568726438827,4.8537308023031365
3,6,-0.7620794050706838,3.3874290525998587,4.8617268616736995
3,7,-0.7752357467244572,3.3950810312993482,4.8701426844882265
3,8,-0.78930415538112,3.4026294648263007,4.879031583948573
3,9,-0.8042397957130264,3.410072630366074,4.888429784322524
4,0,-0.90994210256026,3.2412532797458558,4.883878480358488
4,1,-0.8791671888145585,3.2456977019294486,4.872173135966593
4,2,-0.8501376473787485,3.2500099653030614,4.860365510735564
4,3,-0.822843176763436,3.2541971349230936,4.848494230426008
4,4,-0.7971668763396571,3.2582838261528453,4.83655031831211
4,5,-0.7729768960937113,3.26232449627855,4.824536523676687
4,6,-0.7503397728137899,3.2663436581405243,4.812543995629047
4,7,-0.7295558514592919,3.2704378531743017,4.800936814603826
4,8,-0.7122198540171261,3.2745364774737866,4.791026218669878
4,9,-0.7004753077566631,3.27833236498448,4.784674315059581
5,0,-0.548767025051579,3.3025391551224255,4.590568831240917
5,1,-0.551736898976116,3.3039424164708313,4.595680907983014
5,2,-0.5546279983221832,3.3052685595390496,4.60064774018509
5,3,-0.5574229553368941,3.306509264835642,4.605447147853663
5,4,-0.5601416281107129,3.3076786427318443,4.610110469900295
5,5,-0.5627868802858806,3.308778869229624,4.614646003497549
5,6,-0.5653468267248308,3.309806243508604,4.619036078052875
5,7,-0.567842255432258,3.3107767970073794,4.623308223791403
5,8,-0.570269753175544,3.3116846397148363,4.627467175030337
5,9,-0.5726300773549589,3.312536644567992,4.631507171832761
6,0,-0.524890417431666,3.2815240998141606,4.560073198501105
6,1,-0.527402555941712,3.2836870374966347,4.563878025848812
6,2,-0.5298583909753105,3.2858047371687515,4.56748406694333
6,3,-0.5322505593038837,3.287828914989963,4.570933192454204
6,4,-0.534550079279642,3.2897610771425203,4.574168757528648
6,5,-0.536760088435874,3.2915988132671665,4.577213760809884
6,6,-0.5388741368057552,3.2933144232101377,4.580101688784848
6,7,-0.5408496236081828,3.2949011549143545,4.582755275848369
6,8,-0.5426811828797741,3.296340184578154,4.585203554093129
6,9,-0.5443571236979737,3.2976310859804903,4.5874354231723755
7,0,-0.4831959934715551,3.242996497031647,4.481116567599856
7,1,-0.48512213353047834,3.244857269954309,4.485509048260148
7,2,-0.4870106510914598,3.2466852265246695,4.489738304633716
7,3,-0.488852092379672,3.2484840286591377,4.493787199188512
7,4,-0.49065828182873344,3.250243964893444,4.497687691418473
7,5,-0.4924167583530942,3.2519647637606766,4.501416436112919
7,6,-0.49414873961030337,3.253659043507745,4.505023527564079
7,7,-0.49584307785923387,3.2553046502468805,4.508492129242665
7,8,-0.4975067992197738,3.2569326139554113,4.511834886743679
7,9,-0.49913298711756326,3.2585188997819903,4.515045539112446
8,0,-0.4511828222843775,3.214367963704253,4.3966136156104865
8,1,-0.45283875402386425,3.2151618471870065,4.401290498970715
8,2,-0.4544428518886905,3.215951653363963,4.40576010998429
8,3,-0.45598492453412814,3.21673147750366,4.410005072291316
8,4,-0.4574595921905051,3.2175104638713523,4.414027138027795
8,5,-0.4588780010067262,3.21831725548624,4.417877173901459
8,6,-0.46022638379448744,3.2191073244612323,4.421508082304815
8,7,-0.4615010155960724,3.2199087822296706,4.424932326098523
8,8,-0.46271097133679817,3.2207160624601068,4.428175106475255
8,9,-0.4638603960219675,3.2215219459080653,4.431247616991137
9,0,-0.4325295651695525,3.207080317258081,4.336978028001653
9,1,-0.4336163530092501,3.207202044970469,4.34099342879681
9,2,-0.434704754020271,3.2073093637398724,4.3448859054957945
9,3,-0.43577307320797753,3.207364418825617,4.348584164446441
9,4,-0.43683100147412546,3.207450121822471,4.352145486007879
9,5,-0.43787510361090287,3.207523122036271,4.355564019428857
9,6,-0.4389050663466255,3.2076030539014813,4.35885400737148
9,7,-0.43990389637544214,3.2077078805076873,4.361980440320826
